page,match,home,away,match_start,market,market_type,line,selection,odds
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Match Result (1X2),Match Result (1X2),0,Mexico,1.5
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Match Result (1X2),Match Result (1X2),0,Draw,4.3
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Match Result (1X2),Match Result (1X2),0,South Africa,7.75
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,3,Over,2.81
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,3,Under,1.44
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,5,Over,14
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,5,Under,1.054082
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,4,Over,6.1
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,4,Under,1.13
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,1,Over,1.09
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,1,Under,7.5
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,0.5,Over,1.07
matches,Mexico - South Africa,Mexico,South Africa,2026-06-11T19:00:00+00:00,Total Goals Over / Under,Total Goals Over / Under,0.5,Under,8.7
