date,home_team,away_team,home_corners,away_corners,home_shots,away_shots,home_possession,away_possession
2022-12-01,Canada,Morocco,6,2,5,7,60.8,39.2
2022-11-21,England,Iran,8,0,13,8,82.1,17.9
2022-12-01,Croatia,Belgium,2,4,11,16,48.6,51.4
2022-11-25,Netherlands,Ecuador,2,5,2,15,56.0,44.0
2022-12-01,Japan,Spain,0,2,6,12,15.1,84.9
2022-11-25,England,United States,3,7,8,10,57.0,43.0
2022-11-29,Iran,United States,1,5,4,12,48.6,51.4
2022-11-23,Morocco,Croatia,0,5,8,5,34.3,65.7
2022-11-25,Wales,Iran,2,7,10,21,65.9,34.1
2022-11-30,Tunisia,France,7,8,5,10,32.8,67.2
2022-11-29,Wales,England,1,6,7,18,33.1,66.9
2022-11-24,Switzerland,Cameroon,11,5,7,8,51.2,48.8
2022-11-24,Portugal,Ghana,3,3,11,9,63.2,36.8
2022-11-21,Senegal,Netherlands,6,7,15,10,46.7,53.3
2022-11-21,United States,Wales,5,3,6,7,60.5,39.5
2022-11-26,Poland,Saudi Arabia,4,5,9,17,34.6,65.4
2022-11-29,Netherlands,Qatar,4,2,13,5,65.4,34.6
2022-11-26,France,Denmark,6,4,21,10,49.2,50.8
2022-11-23,Germany,Japan,6,6,26,12,77.1,22.9
2022-11-22,Denmark,Tunisia,11,9,11,13,63.3,36.7
2022-11-22,Mexico,Poland,6,5,11,6,62.8,37.2
2022-11-25,Qatar,Senegal,6,6,10,12,43.9,56.1
2022-11-23,Belgium,Canada,4,4,9,22,52.9,47.1
2022-11-28,Brazil,Switzerland,8,3,13,6,54.2,45.8
2022-12-09,Netherlands,Argentina,2,8,12,19,51.9,48.1
2022-12-01,Costa Rica,Germany,1,14,7,31,29.8,70.2
2022-11-27,Japan,Costa Rica,5,0,13,4,58.5,41.5
2022-12-18,Argentina,France,6,5,24,14,56.3,43.7
2022-12-17,Croatia,Morocco,6,3,12,9,50.5,49.5
2022-12-02,Serbia,Switzerland,2,0,12,14,54.1,45.9
2022-12-03,Argentina,Australia,1,3,14,5,62.7,37.3
2022-11-30,Australia,Denmark,2,6,8,14,27.1,72.9
2022-11-24,Brazil,Serbia,5,4,23,5,60.6,39.4
2022-11-26,Tunisia,Australia,5,2,14,9,59.7,40.3
2022-11-29,Ecuador,Senegal,3,6,9,13,63.0,37.0
2022-11-24,Uruguay,South Korea,4,3,10,7,57.5,42.5
2022-12-10,Morocco,Portugal,3,9,9,12,23.0,77.0
2022-11-30,Saudi Arabia,Mexico,1,8,10,26,34.6,65.4
2022-11-30,Poland,Argentina,1,8,4,24,24.4,75.6
2022-11-26,Argentina,Mexico,4,2,5,4,61.0,39.0
2022-12-06,Portugal,Switzerland,6,6,15,10,48.0,52.0
2022-12-04,England,Senegal,3,3,8,10,62.4,37.6
2022-12-13,Argentina,Croatia,2,4,9,12,39.0,61.0
2022-12-10,England,France,5,2,16,8,58.6,41.4
2022-12-14,France,Morocco,2,3,14,13,37.4,62.6
2022-12-09,Croatia,Brazil,3,7,13,24,49.5,50.5
2022-12-06,Morocco,Spain,0,8,10,15,20.7,79.3
2022-12-05,Japan,Croatia,8,5,17,21,39.9,60.1
2022-12-05,Brazil,South Korea,5,4,18,8,54.3,45.7
2022-12-04,France,Poland,7,1,16,12,55.4,44.6
2022-12-03,Netherlands,United States,4,5,11,18,40.0,60.0
2022-11-28,Portugal,Uruguay,6,2,15,11,61.8,38.2
2022-11-27,Spain,Germany,6,5,7,11,66.5,33.5
2022-11-28,Cameroon,Serbia,4,3,13,15,39.2,60.8
2022-11-27,Belgium,Morocco,9,1,10,10,67.8,32.2
2022-11-20,Qatar,Ecuador,1,3,5,6,46.9,53.1
2022-11-22,Argentina,Saudi Arabia,9,2,15,3,73.3,26.7
2022-11-28,South Korea,Ghana,12,5,21,7,65.2,34.8
2022-12-02,Ghana,Uruguay,5,2,9,12,51.3,48.7
2022-11-23,Spain,Costa Rica,5,0,17,0,85.4,14.6
2022-11-27,Croatia,Canada,5,2,13,8,48.5,51.5
2022-12-02,Cameroon,Brazil,3,11,7,21,33.2,66.8
2022-11-22,France,Australia,8,1,23,4,63.3,36.7
2022-12-02,South Korea,Portugal,5,4,12,13,36.7,63.3
2018-07-06,Brazil,Belgium,8,4,25,8,59.7,40.3
2018-07-02,Belgium,Japan,8,4,28,12,59.1,40.9
2018-06-24,England,Panama,3,2,11,8,61.3,38.7
2018-06-19,Poland,Senegal,3,3,10,7,62.8,37.2
2018-06-22,Serbia,Switzerland,3,7,12,19,36.0,64.0
2018-06-18,Sweden,South Korea,6,5,16,5,56.2,43.8
2018-06-17,Germany,Mexico,6,1,26,12,67.8,32.2
2018-06-20,Iran,Spain,2,6,6,18,18.0,82.0
2018-06-20,Uruguay,Saudi Arabia,3,2,14,8,46.2,53.8
2018-06-21,France,Peru,5,2,12,12,43.2,56.8
2018-06-21,Argentina,Croatia,5,2,10,14,60.1,39.9
2018-07-03,Colombia,England,2,7,19,22,47.4,52.6
2018-06-28,Panama,Tunisia,0,6,9,15,27.0,73.0
2018-06-28,Japan,Poland,5,7,11,11,55.1,44.9
2018-06-26,Iceland,Croatia,10,5,17,13,33.2,66.8
2018-06-19,Russia,Egypt,7,4,12,15,47.1,52.9
